Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
60-69,Man,Bachelor's,Currently not employed,,,,,1-3 years,1-2 years,laptop,,Never,Basic statistical software,Yes,,,Yes,,,,,Yes,Yes,Yes,,
70+,Man,prefer not to answer,Software Engineer,Other,"1000-9,999 employees",exploring,"125,000-149,999",10-20 years,Under 1 year,desktop,,Once,Local development environments,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,
40-44,Man,Master's,Statistician,Marketing/CRM,0-49 employees,well established,,20+ years,20 or more years,cloud computing platform,,Never,,Yes,,,,Yes,,Yes,,,,,Yes,
40-44,Woman,prefer not to answer,Currently not employed,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
30-34,Man,Master's,Data Scientist,,,,,3-5 years,2-3 years,desktop,,Never,,Yes,Yes,Yes,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,,Yes,,,,,,,
55-59,Man,Doctoral,Data Scientist,Computers/Technology,0-49 employees,exploring,"90,000-99,999",10-20 years,3-4 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,Yes,Yes
35-39,Man,Master's,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",well established,"200,000-249,999",5-10 years,5-10 years,desktop,PostgreSQL ,6-25 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
25-29,Man,Master's,Software Engineer,Online Business/Internet-based Sales,"1000-9,999 employees",for insights only,">1,000,000",10-20 years,5-10 years,laptop,,Never,Business intelligence software,Yes,,,Yes,,,,,Yes,Yes,Yes,,
45-49,Man,Bachelor's,Student,,,,,5-10 years,1-2 years,desktop,,Never,,Yes,Yes,,,Yes,Yes,Yes,,,,,,
25-29,Man,Bachelor's,Data Engineer,Other,"1000-9,999 employees",I do not know,"60,000-69,999",3-5 years,Under 1 year,cloud computing platform,Microsoft SQL Server ,Never,Local development environments,Yes,,Yes,Yes,,,,,,Yes,,,
25-29,Woman,Master's,Data Analyst,Marketing/CRM,"10,000 or more employees",well established,"70,000-79,999",5-10 years,1-2 years,laptop,Google Cloud BigQuery ,Never,Business intelligence software,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,,
35-39,Woman,Bachelor's,Other,Other,0-49 employees,do not use,"50,000-59,999",< 1 years,I do not use machine learning methods,laptop,,Never,Local development environments,,Yes,,,,,,,,,,,
45-49,Man,Bachelor's,Data Engineer,Medical/Pharmaceutical,0-49 employees,exploring,"125,000-149,999",20+ years,3-4 years,cloud computing platform,Snowflake ,Never,Local development environments,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes
35-39,Man,Master's,Data Engineer,Academics/Education,0-49 employees,I do not know,"2,000-2,999",1-3 years,2-3 years,desktop,,2-5 times,Other,Yes,,,,,,,,,,,,
30-34,Man,Doctoral,Research Scientist,Academics/Education,50-249 employees,recently started,"25,000-29,999",5-10 years,2-3 years,desktop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,,,,
60-69,Man,Master's,Program/Project Manager,Accounting/Finance,"10,000 or more employees",recently started,"125,000-149,999",20+ years,2-3 years,desktop,Oracle Database ,2-5 times,Basic statistical software,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
40-44,Man,Master's,Program/Project Manager,Non-profit/Service,50-249 employees,I do not know,"40,000-49,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
40-44,Man,Bachelor's,Data Scientist,Government/Public Service,50-249 employees,exploring,"100,000-124,999",5-10 years,1-2 years,laptop,,2-5 times,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
22-24,Man,Master's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,,,,,Yes
55-59,Man,Master's,Data Scientist,Other,0-49 employees,well established,"150,000-199,999",20+ years,20 or more years,laptop,MySQL ,Never,Business intelligence software,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,,
60-69,Prefer not to say,Doctoral,Other,Academics/Education,"1000-9,999 employees",recently started,"300,000-499,999",20+ years,20 or more years,laptop,,Never,,,,,,,,,,Yes,Yes,Yes,,
25-29,Man,Master's,Data Engineer,Accounting/Finance,"10,000 or more employees",well established,"90,000-99,999",5-10 years,5-10 years,cloud computing platform,Microsoft SQL Server ,Never,Local development environments,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
22-24,Woman,Master's,Data Analyst,Other,0-49 employees,I do not know,0-999,< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,Yes,Yes,,,,,,,,,,
50-54,Man,Master's,Software Engineer,Online Service/Internet-based Services,0-49 employees,for insights only,"200,000-249,999",20+ years,20 or more years,desktop,,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
30-34,Man,Doctoral,Student,,,,,3-5 years,1-2 years,laptop,,Never,,Yes,,,Yes,Yes,Yes,Yes,,,,,,Yes
40-44,Man,Master's,Other,Other,0-49 employees,I do not know,,3-5 years,2-3 years,cloud computing platform,,2-5 times,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50-54,Woman,Bachelor's,Other,Non-profit/Service,250-999 employees,I do not know,"25,000-29,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
22-24,Man,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,Yes,,,,,,,,,,,
30-34,Man,Bachelor's,Data Scientist,Retail/Sales,"10,000 or more employees",recently started,"100,000-124,999",5-10 years,Under 1 year,laptop,,Never,Cloud-based data software & APIs,Yes,,Yes,,,,,Yes,,,Yes,,
60-69,Woman,Master's,Product Manager,Computers/Technology,"10,000 or more employees",I do not know,"80,000-89,999",1-3 years,I do not use machine learning methods,None,,Never,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Bachelor's,Software Engineer,Accounting/Finance,250-999 employees,well established,"100,000-124,999",5-10 years,3-4 years,deep learning workstation,Amazon Aurora ,Never,Business intelligence software,Yes,,Yes,,Yes,,,,,Yes,Yes,,Yes
22-24,Man,Master's,Machine Learning Engineer,Academics/Education,250-999 employees,well established,"30,000-39,999",3-5 years,2-3 years,laptop,,2-5 times,Cloud-based data software & APIs,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes
45-49,Man,Master's,Data Analyst,Other,"10,000 or more employees",well established,"100,000-124,999",20+ years,2-3 years,laptop,IBM Db2 ,Never,Local development environments,Yes,,Yes,,,,,,Yes,Yes,,,
40-44,Woman,Bachelor's,Other,Other,250-999 employees,I do not know,"25,000-29,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Master's,Data Analyst,Government/Public Service,250-999 employees,exploring,"70,000-79,999",1-3 years,1-2 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,,,,Yes,Yes,,,
70+,Man,Professional doctorate,Student,,,,,10-20 years,4-5 years,laptop,,Once,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
35-39,Man,Doctoral,Data Scientist,Academics/Education,"1000-9,999 employees",well established,"125,000-149,999",20+ years,4-5 years,laptop,,Never,Basic statistical software,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
60-69,Man,college study without degree,Data Analyst,Accounting/Finance,"10,000 or more employees",I do not know,0-999,20+ years,5-10 years,laptop,,2-5 times,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,
25-29,Woman,Bachelor's,Data Scientist,Retail/Sales,250-999 employees,well established,"150,000-199,999",5-10 years,5-10 years,cloud computing platform,,Never,Local development environments,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,
40-44,Man,Master's,Data Scientist,Government/Public Service,"10,000 or more employees",well established,"100,000-124,999",10-20 years,10-20 years,desktop,,6-25 times,Business intelligence software,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,
45-49,Man,Doctoral,Research Scientist,Government/Public Service,50-249 employees,exploring,"90,000-99,999",5-10 years,1-2 years,cloud computing platform,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,
35-39,Man,Master's,Other,Manufacturing/Fabrication,250-999 employees,do not use,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
25-29,Man,Master's,Other,Government/Public Service,"1000-9,999 employees",I do not know,"125,000-149,999",3-5 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,,,,,
50-54,Woman,Bachelor's,Data Analyst,Manufacturing/Fabrication,250-999 employees,exploring,"100,000-124,999",20+ years,1-2 years,laptop,,Never,Business intelligence software,,,Yes,,,,,,Yes,Yes,,,
45-49,Man,Master's,Data Scientist,Other,"1000-9,999 employees",exploring,"150,000-199,999",20+ years,10-20 years,laptop,,Once,Local development environments,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
60-69,Nonbinary,Master's,Program/Project Manager,Computers/Technology,50-249 employees,well established,"100,000-124,999",20+ years,1-2 years,laptop,MySQL ,Never,Local development environments,,Yes,Yes,,,,,,Yes,Yes,,Yes,
45-49,Man,Master's,Currently not employed,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,,Yes,Yes,,,,,,,,,,
22-24,Man,Master's,Student,,,,,5-10 years,3-4 years,laptop,,Never,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
30-34,Man,Master's,Data Scientist,Computers/Technology,250-999 employees,for insights only,"125,000-149,999",5-10 years,1-2 years,cloud computing platform,PostgreSQL ,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,
25-29,Man,Master's,Data Analyst,Computers/Technology,"1000-9,999 employees",well established,"90,000-99,999",3-5 years,1-2 years,laptop,Amazon Aurora ,Once,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,
60-69,Man,Master's,Machine Learning Engineer,Academics/Education,50-249 employees,for insights only,"80,000-89,999",1-3 years,1-2 years,laptop,,Once,Local development environments,Yes,Yes,,Yes,,,,,,,,Yes,
40-44,Man,Bachelor's,Currently not employed,,,,,3-5 years,Under 1 year,desktop,,Never,Local development environments,Yes,,,Yes,,,,Yes,Yes,Yes,,,
22-24,Man,Master's,Student,,,,,1-3 years,,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Online Service/Internet-based Services,"1000-9,999 employees",well established,"300,000-499,999",3-5 years,4-5 years,cloud computing platform,,Never,Local development environments,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes
30-34,Man,Master's,Product Manager,Manufacturing/Fabrication,"10,000 or more employees",I do not know,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,,,,,,,,,,,,
25-29,Man,Bachelor's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,
25-29,Man,Doctoral,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"125,000-149,999",10-20 years,5-10 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
45-49,Woman,Bachelor's,Data Engineer,Accounting/Finance,"1000-9,999 employees",well established,0-999,10-20 years,3-4 years,cloud computing platform,Microsoft Azure SQL Database ,2-5 times,Cloud-based data software & APIs,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
22-24,Man,Master's,Machine Learning Engineer,Other,0-49 employees,I do not know,0-999,3-5 years,1-2 years,desktop,,Never,Local development environments,Yes,,,Yes,,,Yes,Yes,,,Yes,,Yes
22-24,Man,Master's,Data Engineer,Computers/Technology,50-249 employees,do not use,"5,000-7,499",1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,Yes,,,,Yes,,,,
22-24,Man,Master's,Data Analyst,Medical/Pharmaceutical,"1000-9,999 employees",well established,"60,000-69,999",1-3 years,2-3 years,laptop,,Never,Advanced statistical software,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
50-54,Woman,Master's,Data Analyst,Computers/Technology,"1000-9,999 employees",well established,"70,000-79,999",I have never written code,,,,,,,,,,,,,,,,,,
45-49,Man,Master's,Data Analyst,Marketing/CRM,0-49 employees,exploring,"125,000-149,999",20+ years,Under 1 year,laptop,,2-5 times,Business intelligence software,Yes,,Yes,Yes,,,,,Yes,,,,
30-34,Man,Master's,Data Scientist,Retail/Sales,"1000-9,999 employees",recently started,"100,000-124,999",5-10 years,3-4 years,laptop,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
35-39,Man,Bachelor's,Currently not employed,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,,Yes,Yes,,,,,,,,,,
30-34,Man,Bachelor's,Software Engineer,Retail/Sales,"10,000 or more employees",for insights only,"90,000-99,999",5-10 years,2-3 years,cloud computing platform,IBM Db2 ,6-25 times,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes
45-49,Woman,Master's,Other,Other,"1000-9,999 employees",recently started,"80,000-89,999",< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
55-59,Man,college study without degree,Software Engineer,Computers/Technology,"10,000 or more employees",I do not know,"100,000-124,999",20+ years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
30-34,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,Yes,,,,,,,,,,,
30-34,Woman,Doctoral,Data Scientist,Other,"10,000 or more employees",well established,"150,000-199,999",10-20 years,3-4 years,laptop,PostgreSQL ,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,
45-49,Man,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"125,000-149,999",20+ years,Under 1 year,laptop,Amazon DynamoDB ,Never,Local development environments,Yes,,Yes,,,,,,Yes,Yes,Yes,,
40-44,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,,,,,
70+,Man,Bachelor's,Statistician,Computers/Technology,0-49 employees,do not use,0-999,20+ years,I do not use machine learning methods,laptop,,Never,,,,Yes,,,,,,,,,,
40-44,Woman,Doctoral,Research Scientist,Academics/Education,"10,000 or more employees",do not use,"3,000-3,999",10-20 years,Under 1 year,desktop,,2-5 times,Local development environments,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
22-24,Man,Master's,Student,,,,,3-5 years,1-2 years,desktop,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,
55-59,Man,Doctoral,Research Scientist,Academics/Education,50-249 employees,I do not know,"125,000-149,999",20+ years,5-10 years,laptop,MongoDB ,6-25 times,Business intelligence software,Yes,,,Yes,,,,,Yes,,Yes,Yes,
22-24,Woman,Master's,Software Engineer,Computers/Technology,0-49 employees,exploring,0-999,3-5 years,1-2 years,deep learning workstation,MongoDB ,2-5 times,Cloud-based data software & APIs,Yes,,,Yes,Yes,,Yes,,Yes,Yes,,,Yes
55-59,Man,Doctoral,Data Scientist,Military/Security/Defense,0-49 employees,for insights only,"300,000-499,999",3-5 years,4-5 years,cloud computing platform,Amazon RDS ,6-25 times,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
30-34,Woman,Master's,Currently not employed,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Online Service/Internet-based Services,"1000-9,999 employees",well established,"200,000-249,999",5-10 years,3-4 years,cloud computing platform,Google Cloud BigQuery ,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
30-34,Woman,Master's,Currently not employed,,,,,< 1 years,,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
18-21,Man,college study without degree,Research Scientist,Academics/Education,"10,000 or more employees",well established,"500,000-999,999",1-3 years,1-2 years,deep learning workstation,,Once,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
60-69,Man,Master's,Business Analyst,Government/Public Service,"10,000 or more employees",I do not know,"40,000-49,999",I have never written code,,,,,,,,,,,,,,,,,,
55-59,Man,Master's,Program/Project Manager,Computers/Technology,250-999 employees,for insights only,"125,000-149,999",10-20 years,4-5 years,cloud computing platform,Google Cloud Firestore ,2-5 times,Local development environments,Yes,,,Yes,,,Yes,,Yes,Yes,,,
40-44,Man,Doctoral,Other,Computers/Technology,"1000-9,999 employees",recently started,"200,000-249,999",10-20 years,5-10 years,cloud computing platform,Snowflake ,Once,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,
35-39,Man,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"300,000-499,999",10-20 years,10-20 years,cloud computing platform,,Never,Advanced statistical software,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,
30-34,Man,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
50-54,Man,Bachelor's,Other,Accounting/Finance,"1000-9,999 employees",well established,"70,000-79,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Master's,Data Analyst,Accounting/Finance,"10,000 or more employees",for insights only,"60,000-69,999",3-5 years,1-2 years,desktop,,Never,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
30-34,Man,Bachelor's,Machine Learning Engineer,,,,,10-20 years,,Other,,Never,,Yes,Yes,,,,,,,,,,,
25-29,Woman,Doctoral,Student,,,,,5-10 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,,,,
30-34,Woman,Bachelor's,Business Analyst,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
35-39,Woman,Doctoral,Data Scientist,Military/Security/Defense,"10,000 or more employees",well established,"125,000-149,999",10-20 years,2-3 years,cloud computing platform,,6-25 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,,,,Yes,,
45-49,Man,Master's,Currently not employed,,,,,10-20 years,Under 1 year,laptop,,Once,,,,Yes,,,,,,,,,,
30-34,Man,Bachelor's,Other,Online Business/Internet-based Sales,"10,000 or more employees",I do not know,"30,000-39,999",< 1 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,,,,,
22-24,Man,Master's,Student,,,,,1-3 years,Under 1 year,cloud computing platform,,Once,Basic statistical software,Yes,,,,,,Yes,,Yes,,,,Yes
50-54,Man,Bachelor's,Currently not employed,,,,,3-5 years,1-2 years,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,Yes
25-29,Man,Bachelor's,Currently not employed,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,,Yes,,Yes,,,,,,,,,,
40-44,Woman,Doctoral,Student,,,,,3-5 years,,,,,,Yes,Yes,,,,,,,,,,,
40-44,Woman,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Other,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,
25-29,Man,Bachelor's,Student,,,,,< 1 years,,,,,,,,,,,,,,,,,,
50-54,Man,Bachelor's,Student,,,,,< 1 years,I do not use machine learning methods,None,,Never,Basic statistical software,,,,,,,,,,,,,
25-29,Woman,Master's,Data Scientist,Computers/Technology,0-49 employees,for insights only,0-999,1-3 years,1-2 years,laptop,PostgreSQL ,6-25 times,Business intelligence software,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
30-34,Prefer not to say,Master's,Data Engineer,Government/Public Service,"10,000 or more employees",recently started,"100,000-124,999",5-10 years,3-4 years,desktop,Microsoft SQL Server ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes
45-49,Man,Master's,Data Analyst,Medical/Pharmaceutical,250-999 employees,for insights only,"100,000-124,999",10-20 years,1-2 years,laptop,Microsoft SQL Server ,Never,Local development environments,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,
40-44,Man,Master's,Other,Computers/Technology,"10,000 or more employees",well established,"200,000-249,999",20+ years,3-4 years,laptop,,Never,Business intelligence software,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,
22-24,Woman,Master's,Student,,,,,1-3 years,1-2 years,laptop,,6-25 times,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,
22-24,Man,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,,,,Yes,,,,,Yes,Yes,,,
25-29,Woman,Master's,Business Analyst,Accounting/Finance,"1000-9,999 employees",well established,"80,000-89,999",3-5 years,1-2 years,laptop,Microsoft SQL Server ,Never,Basic statistical software,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes
25-29,Woman,Master's,Statistician,Academics/Education,"1000-9,999 employees",I do not know,,1-3 years,Under 1 year,laptop,,Never,,Yes,,Yes,,,,,,Yes,,,,
50-54,Woman,Master's,Currently not employed,,,,,5-10 years,2-3 years,laptop,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,
35-39,Man,Doctoral,Machine Learning Engineer,Accounting/Finance,"10,000 or more employees",well established,"500,000-999,999",20+ years,10-20 years,cloud computing platform,SQLite ,Never,Local development environments,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,
45-49,Man,Master's,Software Engineer,Medical/Pharmaceutical,"10,000 or more employees",I do not know,"200,000-249,999",20+ years,1-2 years,cloud computing platform,Amazon RDS ,2-5 times,Cloud-based data software & APIs,Yes,,,,Yes,Yes,,,Yes,Yes,,Yes,
30-34,Woman,Bachelor's,Other,Government/Public Service,250-999 employees,do not use,"30,000-39,999",< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Bachelor's,Student,,,,,< 1 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,Yes,Yes,,,
30-34,Man,Doctoral,Program/Project Manager,Government/Public Service,"10,000 or more employees",well established,"80,000-89,999",3-5 years,1-2 years,desktop,,Never,Advanced statistical software,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,
25-29,Man,Bachelor's,Software Engineer,Shipping/Transportation,"1000-9,999 employees",well established,"80,000-89,999",3-5 years,I do not use machine learning methods,None,,Never,Basic statistical software,,,Yes,,,,,,,,,,
22-24,Woman,Doctoral,Student,,,,,3-5 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,,,,,,,,,,,
35-39,Woman,Master's,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",for insights only,"80,000-89,999",5-10 years,1-2 years,laptop,Microsoft SQL Server ,Never,Business intelligence software,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
22-24,Woman,Master's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,,,Yes,Yes,,,,,,,,,,
35-39,Man,Bachelor's,Data Scientist,Computers/Technology,0-49 employees,exploring,"50,000-59,999",< 1 years,Under 1 year,laptop,,Never,Other,Yes,,Yes,,,,,,,,,,Yes
30-34,Woman,Doctoral,Research Scientist,Other,250-999 employees,well established,"80,000-89,999",1-3 years,Under 1 year,desktop,,Never,Local development environments,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
50-54,Man,Bachelor's,Software Engineer,Computers/Technology,250-999 employees,,,20+ years,1-2 years,cloud computing platform,,2-5 times,,,,Yes,Yes,,,,,Yes,Yes,,,
25-29,Man,college study without degree,Software Engineer,Medical/Pharmaceutical,"10,000 or more employees",recently started,"80,000-89,999",3-5 years,I do not use machine learning methods,None,PostgreSQL ,Never,Other,,,Yes,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,< 1 years,Under 1 year,deep learning workstation,,Never,Basic statistical software,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,
60-69,Man,Bachelor's,Program/Project Manager,Broadcasting/Communications,0-49 employees,exploring,"100,000-124,999",20+ years,1-2 years,laptop,Microsoft SQL Server ,Once,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,,,,
60-69,Man,Master's,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees",recently started,"150,000-199,999",3-5 years,2-3 years,laptop,Oracle Database ,6-25 times,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
25-29,Woman,Master's,Student,,,,,1-3 years,1-2 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
60-69,Man,Master's,Other,Other,"10,000 or more employees",well established,"150,000-199,999",20+ years,20 or more years,Other,,Never,Cloud-based data software & APIs,Yes,Yes,,,,,,,,Yes,Yes,,
25-29,Man,Master's,Business Analyst,Other,"1000-9,999 employees",do not use,"50,000-59,999",1-3 years,1-2 years,laptop,,Never,Basic statistical software,Yes,Yes,,,,Yes,,,,,,,Yes
35-39,Man,Doctoral,Data Scientist,Retail/Sales,250-999 employees,well established,"150,000-199,999",10-20 years,5-10 years,desktop,,Never,Local development environments,Yes,,Yes,Yes,,,Yes,,,,Yes,,
35-39,Prefer not to say,Master's,Machine Learning Engineer,Other,0-49 employees,I do not know,0-999,1-3 years,Under 1 year,laptop,,Never,Local development environments,,,,Yes,,,,Yes,Yes,Yes,Yes,,
40-44,Man,Master's,Data Analyst,Academics/Education,250-999 employees,do not use,"90,000-99,999",5-10 years,1-2 years,laptop,,Never,,,Yes,Yes,,,,,,,,,,
45-49,Man,Doctoral,Data Scientist,Academics/Education,"10,000 or more employees",for insights only,"150,000-199,999",10-20 years,5-10 years,deep learning workstation,Snowflake ,More than 25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes
18-21,Man,high school,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,,Yes,Yes,,,,,,,
25-29,Man,Doctoral,Research Scientist,Medical/Pharmaceutical,"1000-9,999 employees",exploring,"150,000-199,999",5-10 years,5-10 years,desktop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
